Cycle | genre,work,witness,siecle,date,langue,nature,nature_descrip.,bibliotheque,localisation,latitude,longitude,cote,ville_imprimeur,auteur,obs.,philobiblon_id,copie_numerisee
Cycle breton,Estoire del Saint Graal- Post-Vulgate,Estória do Santo Graal / Livro de José de Arimateia,XIIIe siecle/XIVe siecle,1200-1399,portugais ,fragment,,Arquivo Distrital do Porto ,Porto,41.1438902,-8.6168487,NOT/CNS-TS01/001/0012,,,,BITAGAP Manid 3747/ cnum 21089,
Cycle breton,Estoire del Saint Graal Post-Vulgate,Liuro de Josep Abaramatia intetulado a primeira parte da Demanda do Santo Graal,16,1543,portugais,codex,,Arquivo Nacional Torre do Tombo ,Lisbonne,38.7545238,-9.15637808094208,ms. 643 AN/TT,,,(date colophon 1314),,https://digitarq.arquivos.pt/details?id=4248673
Cycle breton,Estoire del Saint Graal Post-Vulgate,Libro de Iosep Abarimatia e otrosi libro del sancto Grial,15,1469-1470,castillan,fragment,folios 252r-282r, Biblioteca General Histórica de la Universidad de Salamanca,Salamanque,40.962660010421,-5.6679000079948,Ms 1877,,,Traducido 1313 ca.,BETA texid 2055 /cnum 2524,
Cycle breton,Queste Saint Graal Post-Vulgate,Historia dos caualleiros da Mesa Redonda e da Demanda do Santo Graal,15,1400-1499,portugais,codex,,Osterreichische Nationalbibliothek ,Vienne,48.20537595,16.3652817644225,Cod. 2594 HAN MAG,,,,BITAGAP  texid  1070 ,https://digital.onb.ac.at/RepViewer/viewer.faces?doc=DTL_5407414&order=1&view=SINGLE
Cycle breton,Queste Saint Graal Post-Vulgate,Demanda del Santo Grial ,15,1470,castillan,fragment, 298v-300v,Biblioteca Universitaria de Salamanca,Salamanque,40.9603055,-5.6682554929849,Ms. 1877,,,"fragments inseres ‘a l’interieur d’un manuscrit contenant d’autres textes arthuriens. Titre : Fuero Real y otras obras de Alfonso X, 1470",,
Cycle breton,mort Artu- Vulgate,Tragedia ordenade per mossen Gras la qual es part de la gran obra dels actes del famos caualler Lançalot del Lac,15,1496,catalan,incunable ,,Biblioteca de Catalunya,Barcelone,,,10-V-39,"Barcelone, Diego de Gumiel",,,,
Cycle breton,Queste Saint Graal -Vulgate,Maravillas del Grial en Corberic,,1515,castillan,fragment,ff. 176-8,British Library,Londres,51.5299119,-0.127691816354574, G10241,"Toledo, Juan de Villaquirán",,"Fragmento inserto nel impresso de Toledo 1515. Episodio interpolado en el impresso del siglo XVI, caps. 373-389, tomado di una version variante de la Vulgata muy proxima al  ms. 476 (olim 644) Musee Conde, Chantilly. (V. portal Arturiana)",BETA manid 4155,
Cycle breton,Queste Saint Graal,Demanda del Santo Grial (﻿De la Demanda del sancto Grial con el baladro del famoissimo profeta y negormante Merlin con sus profecias),,1515,castillan,imprimé,infolio,British Library,Londres,51.5299119,-0.127691816354574, G10241,"Toledo, Juan de Villaquirán",,"( El volumen es un infolio impreso en letra gótica libraria, que se compone de dos partes: un Baladro del famosísimo profeta y nigromante Merlín con sus profecías, perdido en la actualidad, y la Demanda del Sancto Grial propiamente dicha. Esta Demanda de 1515 se conserva en un único ejemplar en la British Library (G10241), proveniente de la Herber´s Library, que se halla encuadernado en un volumen facticio, junto con un Baladro de 1535, lo que lo ha mantenido oculto hasta tiempos recientes. )",BETA manid 4155,
Cycle breton,Queste Saint Graal,Demanda del Santo Grial (La demanda del Sancto Grial,,1535,castillan,imprimé,infolio,Biblioteca Nacional de España,Madrid,40.4237276,-3.6899043,R/3870,"Sevilla, Juan Varela de Salamanca",,https://bdh-rd.bne.es/viewer.vm?id=0000023013&page=1,,
Cycle breton,Queste Saint Graal,"La Demanda del Santo Grial, con los maravillosos fechos de Lançarote y de Galaz zu hijo",,1535,castillan,imprimé,infolio,Bibliothèque nationale de France,Paris,48.8350258,2.3760157,RES M-Y2-22,"Sevilla, Juan Varela de Salamanca",,BNF- Tolbiac,,
Cycle breton,Queste Saint Graal,Primero y segundo libro de la demanda del Sancto Grial,,1535,castillan,imprimé,infolio,Biblioteca Histórica Marqués de Valdecilla,Madrid,40.4255717110008,-3.70793628679027,BH FLL Res.244 ,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Queste Saint Graal,"La Demanda del Santo Grial, con los maravillosos fechos de Lançarote y de Galaz zu hijo",,1535,castillan,imprimé,infolio,National Library of Scotland,Édimbourg,55.948554,-3.191899,G.23.a.1a,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Queste Saint Graal,"La Demanda del Sancto Grial, con los maravillosos fechos de Lançarote y de Galaz zu hijo",,1535,castillan,imprimé,infolio,Herzog August Bibliotek,Wolfenbüttel,52.1641600188632,10.5303100173037,A: 272.5 Hist. 2o ,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Queste Saint Graal,La demãda del sancto grial: con los marauillosos fechos de Lãçarote y de Galaz su hijo.,,1535,castillan,imprimé,infolio,Newberry Library,Chicago,41.9001079871785,-87.630628965623,C 17104 ,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Queste Saint Graal,La demãda del sancto grial: con los marauillosos fechos de Lãçarote y de Galaz su hijo.,,1535,castillan,imprimé,190 folios,University of Illinois ,Urbana,40.104717989501,-88.228487990903, Q. 862 D39OD1535,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Queste Saint Graal-Vulgate,La Storia del Sant Grasal,,1380,catalan,codex ,(132 ff),Biblioteca Ambrosiana ,Milan,45.4636207,9.1860483,ms. I 79 Sup.,,,copia realizada por un mallorquín y no el original de la traducción cf. Megias 2005,BITECA cnum 340/  texid 1269,
Cycle breton,Mort Artu-Vulgate,Tragedia ordenade per mossen Gras la qual es part de la gran obra dels actes del famos caualler LanTragedia ordenade per mossen Gras la qual es part de la gran obra dels actes del famos caualler Lançalot del Lacçalot del Lac,,1496,catalan,incunable ,"3 folios. Fragmento incluido enel incunable de 1496 impreso por Diego de Gumiel (Megias, 238)",Biblioteca de Catalunya,Barcelone,41.3810089,2.1695118,10-V-39,"Barcelone, Diego de Gumiel",Mossèn Gras,Cycle Vulgate,BITECA texid 1574/cnum 808,
Cycle breton,Mort Artu - Post-Vulgate,Historia dos caualleiros da Mesa Redonda e da Demanda do Santo Graal,XV,1400-1499,portugais,codex,,Osterreichische Nationalbibliothek ,Vienne,48.20537595,16.3652817644225,Cod. 2594 HAN MAG,,,,BITAGAP  texid  1070 ,
Cycle breton,Lancelot,Tragedia ordenade per mossen Gras la qual es part de la gran obra dels actes del famos caualler Lançalot del Lac,,1496,catalan,incunable,ff. 1-9v copie fragmentaire,ff. 1-9v copie frafragmentairegmentaire,Barcelone,41.3810089,2.1695118,10-V-39,"Barcelone, Diego de Gumiel",Mossèn Gras,Titre alternatif Tragèdia de Lançalot,BITECA texid 1574/cnum 808,https://mdc.csuc.cat/digital/collection/incunableBC/id/26530
Cycle breton,Lancelot-Vulgate,El segundo y tercero libro de don Lançarote do Lago,XVI,1500-1599,castillan,codex,355 folios,Biblioteca Nacional de España,Madrid,40.4237276,-3.6899043,MS. 9611 ,,,,BETA manid 1400,https://bdh-rd.bne.es/viewer.vm?id=0000068589&page=1
Cycle breton,Merlin,Baladro del sabio Merlín con sus profecías,,1498,castillan,incunable,,Biblioteca Universitaria de Oviedo,Oviedo,43.3620790522236,-5.84598479819012,R-33215,"Burgos, Juan de Burgos, 1498",,,,
Cycle breton,Merlin,Estoria de Merlín,,1470,castillan,fragment,fols. 282v-296r,Biblioteca Universitaria de Salamanca,Salamanque,40.9603055,-5.6682554929849,Ms. 1877,,,"fragments inseres ‘a l’interieur d’un manuscrit contenant d’autres textes arthuriens. Titre : Fuero Real y otras obras de Alfonso X, 1470",,
Cycle breton,Merlin (suite de Merlin),Livro de Merlin,XIV s.,1300-1399,galicien-portugais ,fragment ,(demi folio+ bifolio),Biblioteca de Catalunya,Barcelone,41.3810089,2.1695118,ms. 2434,,,Suite de Merlin,BITAGAP texid 1398/ manid 1604,
Cycle breton,Merlin,Baladro del sabio Merlín con sus profecías,,1535,castillan,imprimé,infolio,Biblioteca Nacional de España,Madrid,40.4237276,-3.6899043,R/3870,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Merlin,Baladro del sabio Merlín con sus profecías,,1535,castillan,imprimé,infolio,Bibliothèque nationale de France,Paris,48.8350258,2.3760157,RES M-Y2-22,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Merlin,Baladro del sabio Merlín con sus profecías,,1535,castillan,imprimé,infolio,Biblioteca Histórica Marqués de Valdecilla,Madrid,40.4255717110008,-3.70793628679027,BH FLL Res.244 ,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Merlin,Baladro del sabio Merlín con sus profecías,,1535,castillan,imprimé,infolio,National Library of Scotland,Édimbourg,55.948554,-3.191899,G.23.a.1a,"Sevilla, Juan Varela de Salamanca",,,,
